                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86439,                 2.1141,                 1.2617,                0.65028,                0.85446,                0.89591,                0.57991,                0.91968,                 1.7225,                 1.7819,             0.00055442,             0.00055442,             0.00055442
                      2,                 1.0222,                 1.6477,                 1.3576,                0.55092,                0.47619,                0.55489,                0.32745,                 1.0094,                 1.8527,                 1.8554,              0.0010881,              0.0010881,              0.0010881
                      3,                 1.0333,                 1.5505,                 1.3613,                0.40746,                0.57143,                0.54228,                0.35259,                 1.1429,                  1.663,                   1.91,              0.0015998,              0.0015998,              0.0015998
                      4,                0.98063,                 1.4095,                  1.328,                0.70468,                0.59524,                0.69513,                0.38809,                 1.2703,                 1.7829,                 2.1044,               0.001568,               0.001568,               0.001568
                      5,                0.94047,                 1.3181,                 1.2944,                0.62401,                0.73841,                 0.8005,                0.48633,                 1.0326,                 1.2306,                 1.6703,               0.001568,               0.001568,               0.001568
                      6,                0.89336,                 1.2289,                 1.2534,                0.80923,                0.93528,                0.94981,                 0.7389,                0.71093,                0.72173,                 1.4487,               0.001568,               0.001568,               0.001568
                      7,                0.85167,                 1.1445,                 1.2326,                0.77193,                 0.7381,                0.86377,                0.66319,                0.71627,                0.79657,                 1.4646,               0.001502,               0.001502,               0.001502
                      8,                0.81935,                 1.1149,                 1.2034,                0.76714,                0.80952,                0.89193,                0.70339,                0.73438,                0.85721,                 1.4365,               0.001469,               0.001469,               0.001469
                      9,                0.79052,                 1.0349,                 1.1899,                0.93315,                0.91386,                0.97873,                0.83659,                0.64238,                0.62935,                 1.4229,               0.001436,               0.001436,               0.001436
                     10,                0.77655,                 1.0041,                 1.1791,                0.79634,                0.83466,                0.91924,                0.72747,                0.63583,                0.75362,                 1.3243,              0.0014029,              0.0014029,              0.0014029
                     11,                0.76115,                0.97545,                 1.1634,                0.86948,                0.95238,                0.98396,                0.80936,                0.64774,                0.65678,                 1.3237,              0.0014029,              0.0014029,              0.0014029
                     12,                0.73747,                0.94459,                 1.1509,                0.78943,                0.87468,                0.92958,                0.76927,                0.56036,                0.65102,                 1.2575,              0.0013369,              0.0013369,              0.0013369
                     13,                0.71208,                0.92427,                 1.1343,                0.67899,                0.84118,                0.83145,                0.67648,                0.68081,                0.82734,                 1.4185,              0.0013039,              0.0013039,              0.0013039
                     14,                0.69914,                0.87811,                 1.1328,                0.86633,                 0.9841,                0.96386,                0.81627,                0.57803,                0.62759,                 1.3134,              0.0012709,              0.0012709,              0.0012709
                     15,                0.69472,                0.86258,                  1.123,                0.79818,                0.90725,                0.96229,                0.80529,                0.58499,                0.67327,                 1.2744,              0.0012379,              0.0012379,              0.0012379
